url,success,error_type,precio_descuento,precio_normal,unidad,titulo,raw_nombre
https://www.carrefour.com.ar/galletitas-dale-chocolate-rellenas-de-vainilla-115-g/p,True,,500025000,500025000,1 K.,,Galletitas Dale chocolate rellenas de vainilla 115 g.
https://www.carrefour.com.ar/galletitas-pepas-9-de-oro-350-g-724195/p,True,,500025000,500025000,1 K.,,Galletitas pepas 9 de Oro 350 g.
https://www.carrefour.com.ar/jugo-de-pomelo-exprimido-puro-sol-tetra-1-lt/p,True,,500025000,500025000,1 L.,,Jugo de pomelo exprimido Puro Sol tetra 1 lt.
https://www.carrefour.com.ar/galletitas-frutigran-avena-y-chips-de-chocolate-255-g/p,True,,2765,500025000,1 K.,,Galletitas Frutigran avena y chips de chocolate 255 g.
https://www.carrefour.com.ar/galletitas-rellenas-de-frutilla-bulnez-6-uni-758856/p,True,,560,500025000,1 K.,,Galletitas rellenas de frutilla Bulnez 6 uni
https://www.carrefour.com.ar/aperitivo-fernet-branca-450-cc/p,True,,500025000,500025000,1 L.,,Aperitivo Fernet Branca 450 cc.
https://www.carrefour.com.ar/galletitas-crackers-argentitas-3-x-102-g/p,True,,500025000,500025000,1 K.,,Galletitas crackers Argentitas 3 x 102 g.
https://www.carrefour.com.ar/galletitas-dulces-carrefour-classic-de-vainilla-120-grs-759353/p,True,,500025000,500025000,1 K.,,Galletitas dulces Carrefour Classic de vainilla 120 grs
https://www.carrefour.com.ar/tapa-de-nalga-novillito-x-kg-678569/p,True,,20600,500025000,1 K.,,Tapa de nalga Novillito x kg.
https://www.carrefour.com.ar/tartaleta-frutos-rojos-carrefour-classic-300-g-736428/p,True,,500025000,500025000,1 K.,,Tartaleta frutos rojos Carrefour Classic 300 g.
https://www.carrefour.com.ar/tomate-perita-x-kg-735551/p,True,,4299,500025000,1 K.,,Tomate perita x kg.
https://www.carrefour.com.ar/galletitas-dulces-variedad-terrabusi-mix-tamano-familiar-390-g-714816/p,True,,2339.35,3599,1 K.,,Galletitas dulces Variedad Terrabusi mix tamaño familiar 390 g.
https://www.carrefour.com.ar/alimento-a-base-de-queso-rallado-bulnez-en-sobre-40-g-740456/p,True,,684,500025000,1 K.,,Alimento a base de queso rallado Bulnez en sobre 40 g.
https://www.carrefour.com.ar/queso-crema-carrefour-classic-tradicional-290-g-719066/p,True,,500025000,500025000,1 K.,,Queso crema Carrefour classic tradicional 290 g.
https://www.carrefour.com.ar/lechuga-capuchina-x-kg-735054/p,True,,3499,500025000,1 K.,,Lechuga capuchina x kg.
https://www.carrefour.com.ar/shampoo-pantene-equilibrio-400-cc-723895/p,True,,10029,500025000,1 L.,,Shampoo Pantene equilibrio 400 cc.
https://www.carrefour.com.ar/galletitas-dulce-carrefour-classic-anillo-sabor-coco-300-grs-754968/p,True,,500025000,500025000,1 K.,,Galletitas dulces Carrefour Classic anillo sabor coco 300 grs
https://www.carrefour.com.ar/galletitas-pepas-tricolor-carrefour-classic-300-g/p,True,,500025000,500025000,1 K.,,Galletitas pepas tricolor Carrefour classic 300 g.
https://www.carrefour.com.ar/huevo-blanco-avicola-santa-ana-carton-6-uni-432936/p,True,,2500,500025000,1 U.,,Huevo blanco Avicola Santa Ana carton 6 uni
https://www.carrefour.com.ar/shampoo-fructis-reparador-goodbye-dano-350-cc-721113/p,True,,7990,500025000,1 L.,,Shampoo Fructis reparador goodbye dano 350 cc.
https://www.carrefour.com.ar/huevos-frescos-blancos-carrefour-6-u/p,True,,1922.80,2090,1 U.,,Huevos frescos blancos Carrefour 6 u.
https://www.carrefour.com.ar/caldo-de-gallina-bulnez-6-uni-746514/p,True,,594,500025000,1 K.,,Caldo de gallina Bulnez 6 uni
https://www.carrefour.com.ar/la-lechera-nutrifuerza-400-grs-721596/p,True,,500025000,500025000,1 K.,,La Lechera Nutrifuerza 400 grs
https://www.carrefour.com.ar/papel-higienico-doble-hoja-higienol-plus-x4-30-mts-736162/p,True,,2136.75,2849,1 M2.,,Papel higiénico doble hoja Higienol plus x4 30 mts.
https://www.carrefour.com.ar/lentejas-albor-500-grs-271300/p,True,,2190,500025000,1 K.,,Lentejas Albor 500 grs
https://www.carrefour.com.ar/huevos-color-carrefour-12-u/p,True,,4324.50,4650,1 U.,,Huevos color Carrefour 12 u.
https://www.carrefour.com.ar/whisky-sir-edward-s-smoky-scotch-700-cc-700878/p,True,,23625,31500,1 L.,,Whisky Sir Edward's smoky scotch 700 cc.
https://www.carrefour.com.ar/galletitas-crackers-la-providencia-101-g/p,True,,500025000,500025000,1 K.,,Galletitas crackers La Providencia 101 g.
https://www.carrefour.com.ar/galletitas-dulces-terrabusi-miel-120-grs-743101/p,True,,1259,500025000,1 K.,,Galletitas dulces Terrabusi miel 120 grs
https://www.carrefour.com.ar/galletitas-dulces-terrabusi-vainilla-120-grs-743100/p,True,,1259,500025000,1 K.,,Galletitas dulces Terrabusi vainilla 120 grs
https://www.carrefour.com.ar/galletitas-chocolate-negro-macucas-black-110-grs-760486/p,True,,500025000,500025000,1 K.,,Galletitas chocolate negro Macucas black 110 grs
https://www.carrefour.com.ar/rollo-de-cocina-elegante-360-panos/p,True,,5849,500025000,1 Pano,,Rollo de cocina Elegante 360 paños
https://www.carrefour.com.ar/choclo-en-granos-arcor-amarillo-lata-300-g-699528-699528/p,True,,500025000,500025000,1 K.,,Choclo en granos Arcor amarillo lata 300 g.
https://www.carrefour.com.ar/papa-negra-x-kg-735463/p,True,,1990,500025000,1 K.,,Papa x kg.
https://www.carrefour.com.ar/acelga-x-atado-744145/p,True,,1499,500025000,1 U.,,Acelga x atado.
https://www.carrefour.com.ar/cebolla-x-kg-734857/p,True,,1499,500025000,1 K.,,Cebolla x kg.
